Property_ID,Property_Name,City,Neighborhood,Price,Bedrooms,Bathrooms,Square_Feet,Property_Type,Latitude,Longitude,School_Distance,Parking,Age_of_Property,Status,Builder,Listing_Date
PROP00890,Tambaram Gardens,Chennai,Tambaram,4369000,1,1,605,Studio,13.066928,80.226962,,Yes,5,Available,Godrej Properties,2024-12-08
PROP00573,Dwarka Towers,Delhi,Dwarka,43164000,4,4,2836,Villa,28.757095,77.17159,2,Yes,7,Sold,Lodha Group,2022-12-03
PROP00245,Electronic City Homes,Bangalore,Electronic City,18978000,3,2,1771,Apartment,13.033676,77.673876,2.9,No,5,Sold,Prestige Group,2026-07-21
PROP00947,Vasant Kunj Court,delhi,Vasant Kunj,16915000,4,4,1692,Apartment,28.758963,77.058583,0.5,Yes,2,Under Construction,Prestige Group,2024-10-22
PROP00200,Aundh Homes,Pune,Aundh,12000000,2,,1402,Apartment,18.57256,73.868146,1.1,Yes,1,Available,,2022-04-05
PROP01053,Juhu Estate,Mumbai,Juhu,64789000,3,3,2711,Independent House,19.011497,72.838733,7.4,No,0,Under Construction,Independent Builder,2025-04-20
PROP00564,OMR Homes,Chennai,OMR,19861000,1,1,1850,Apartment,13.117326,80.334222,3.2,Yes,10,Available,DLF Ltd,2022-04-10
PROP01004,HSR Layout Residency,Bangalore,HSR Layout,15925000,3,3,889,Apartment,12.91495,77.628377,2.3,Yes,15,Available,Shapoorji Pallonji,2024-01-31
PROP00589,Satellite Towers,Ahmedabad,Satellite,11063000,1,1,1167,Apartment,23.100455,72.566088,7.2,Yes,10,Sold,Sobha Ltd,2023-05-14
PROP00294,Dwarka Gardens,Delhi,Dwarka,26782000,2,1,2383,Independent House,28.625251,77.127227,5.6,Yes,7,Available,Prestige Group,2024-05-22
PROP01025,HSR Layout Towers,Bangalore,HSR Layout,30130000,2,2,1885,Apartment,12.998549,77.60733,3.3,Yes,15,Available,Sobha Ltd,2024-07-09
PROP00021,Kothrud Court,Pune,Kothrud,21224000,3,2,3108,Independent House,18.5809,73.819015,7.1,Yes,3,Available,Sobha Ltd,2026-01-09
PROP01120,Prahlad Nagar Enclave,Ahmedabad,Prahlad Nagar,4168000,1,1,449,Studio,23.090303,72.640926,2.9,Yes,3,Available,Independent Builder,2023-11-03
PROP00504,Porur Estate,Chennai,Porur,4507000,1,1,354,Studio,13.100364,80.214198,3.4,Yes,15,Sold,Tata Housing,2025-08-28
PROP01146,T Nagar Enclave,Chennai,T Nagar,8987000,3,3,1424,Independent House,13.136329,80.216781,1.8,Yes,0,Sold,Independent Builder,2025-03-28
PROP00910,Kukatpally Gardens,Hyderabad,Kukatpally,7713000,2,2,1008,Apartment,17.421957,78.560786,3.2,Yes,1,Available,DLF Ltd,2024-06-03
PROP00354,Gachibowli Gardens,Hyderabad,Gachibowli,58963000,5,5,3871,Villa,17.391059,78.564113,,No,15,Sold,DLF Ltd,2023-01-24
PROP00123,Saket Residency,Delhi,Saket,38708000,3,3,1506,Apartment,28.703679,77.036908,3.3,No,2,Available,Brigade Group,2022-04-10
PROP00679,Thane Enclave,Mumbai,Thane,200575000,4,3,5014,Penthouse,19.114671,72.945953,1.7,Yes,15,Available,Shapoorji Pallonji,2026-04-08
PROP00215,Bandra Residency,Mumbai,Bandra,18234000,2,1,590,Apartment,19.049077,72.895962,6.5,Yes,1,Under Construction,Brigade Group,2022-05-02
PROP00222,Hadapsar Gardens,Pune,Hadapsar,22912000,4,3,3130,Independent House,18.582761,73.801837,1,Yes,2,Available,,2026-01-18
PROP00153,SG Highway Homes,Ahmedabad,SG Highway,18551000,3,3,3072,Independent House,23.008729,72.581404,1.9,Yes,0,Available,Tata Housing,2025-04-01
PROP00689,Worli Residency,Mumbai,Worli,37385000,1,1,834,Apartment,19.133822,72.913581,2,Yes,2,Sold,Brigade Group,2025-01-05
PROP00672,Electronic City Court,Bangalore,Electronic City,13584000,3,3,1928,Apartment,13.037049,77.519828,0.4,Yes,15,Sold,Tata Housing,2023-10-13
PROP00965,Anna Nagar Heights,Chennai,Anna Nagar,11669000,3,3,1170,Apartment,13.018154,80.321019,0.4,Yes,3,Available,Prestige Group,2026-05-09
PROP00838,Indiranagar Gardens,Bangalore,Indiranagar,35356000,3,3,2159,Apartment,12.98922,77.539741,7.7,No,25,Sold,Oberoi Realty,2026-05-16
PROP00313,Miyapur Estate,Hyderabad,Miyapur,11001000,2,2,1362,Independent House,17.355157,78.511182,5.7,No,3,Under Construction,Brigade Group,2026-03-12
PROP00930,Kondapur Court,Hyderabad,Kondapur,4244000,1,,380,Studio,17.373815,78.514546,7.2,No,0,Under Construction,Independent Builder,2022-06-30
PROP00997,SG Highway Residency,Ahmedabad,SG Highway,37692000,4,4,4962,Villa,22.981803,72.492799,6.9,Yes,15,Sold,Shapoorji Pallonji,2024-10-30
PROP00817,Vasant Kunj Court,Delhi,Vasant Kunj,140121000,5,5,3685,Penthouse,28.781601,77.179123,4.5,Yes,2,Available,,2023-07-26
PROP00340,Juhu Towers,Mumbai,Juhu,141579000,3,3,4245,Villa,19.065519,72.909359,6.1,No,15,Available,Oberoi Realty,2025-08-28
PROP00428,SG Highway Heights,Ahmedabad,SG Highway,18332000,1,1,2048,Apartment,22.964808,72.579554,2.6,No,20,Sold,Puravankara,2024-01-02
PROP00241,Gachibowli Enclave,Hyderabad,Gachibowli,8153000,1,1,648,Studio,17.316395,78.549008,4.1,No,15,Available,DLF Ltd,2022-11-05
PROP00790,Tambaram Heights,Chennai,Tambaram,4397000,4,4,556,Apartment,13.05881,80.245332,4.6,Yes,20,Under Construction,Godrej Properties,2022-08-27
PROP00452,Bopal Court,Ahmedabad,Bopal,51430000,5,4,4703,Villa,23.018646,72.628096,4.2,No,3,Available,Oberoi Realty,2025-06-17
PROP00248,Hitech City Towers,Hyderabad,Hitech City,26620000,3,2,2475,Independent House,17.372012,78.55048,4.2,Yes,3,Available,Godrej Properties,2024-10-16
PROP00748,Koramangala Enclave,Bangalore,Koramangala,29648000,4,4,2700,Independent House,12.947918,77.595503,7.3,No,20,Available,Oberoi Realty,2023-04-16
PROP00179,Juhu Towers,Mumbai,Juhu,60576000,3,2,1700,Apartment,19.061461,72.876376,5.7,No,10,Available,Tata Housing,2022-03-05
PROP00998,Kukatpally Towers,Hyderabad,Kukatpally,6356000,3,3,869,Apartment,17.402435,78.465451,6.3,No,2,Available,Local Developer,2022-08-14
PROP00314,Kukatpally Estate,Hyderabad,Kukatpally,5851000,1,1,806,Apartment,17.345264,78.52572,6,Yes,1,Available,Godrej Properties,2022-05-11
PROP00458,Kondapur Estate,Hyderabad,Kondapur,9965000,3,2,1064,Apartment,17.41245,78.49431,7.1,Yes,20,Available,Independent Builder,2026-03-01
PROP00154,Indiranagar Estate,Bangalore,Indiranagar,21454000,2,,1327,Apartment,12.971488,77.619337,5.5,Yes,10,Under Construction,Independent Builder,2026-02-23
PROP00888,Baner Heights,Pune,Baner,25155000,2,2,2457,Independent House,18.557261,73.893909,2.1,Yes,1,Available,Puravankara,2026-02-01
PROP00770,Navrangpura Homes,Ahmedabad,Navrangpura,3288000,4,4,597,Apartment,22.974927,72.533683,5.3,No,7,Available,Godrej Properties,2023-04-01
PROP00133,Karol Bagh Court,Delhi,Karol Bagh,5416000,1,1,489,Studio,28.742643,77.060785,,Yes,25,Available,Godrej Properties,2024-04-26
PROP00150,Banjara Hills Residency,Hyderabad,Banjara Hills,23269000,2,2,1874,Apartment,17.440541,78.421494,5.9,Yes,0,Available,Independent Builder,2025-05-23
PROP00981,Baner Court,Pune,Baner,11885000,2,2,1105,Apartment,18.476855,73.924991,2.7,Yes,20,Available,Lodha Group,2023-01-28
PROP00618,Rohini Gardens,Delhi,Rohini,111872000,4,4,3682,Villa,28.747212,77.062522,3.9,Yes,3,Available,Prestige Group,2025-01-03
PROP01014,Bandra Gardens,Mumbai,Bandra,36673000,1,1,823,Apartment,19.054683,72.907406,6.6,,25,Sold,DLF Ltd,2022-12-05
PROP00102,Kharadi Enclave,Pune,Kharadi,8199000,1,1,1317,Apartment,18.589332,73.910968,5.3,Yes,1,Available,Puravankara,2025-11-26
PROP00862,Dwarka Gardens,Delhi,Dwarka,23161000,3,3,1531,Independent House,28.715634,77.099915,2.9,No,10,Under Construction,Puravankara,2025-06-26
PROP00362,Bopal Heights,Ahmedabad,Bopal,6973000,2,1,799,Apartment,22.995173,72.557601,1.8,Yes,20,Available,Tata Housing,2026-02-03
PROP01021,Porur Estate,Chennai,Porur,47222000,5,5,5366,Penthouse,13.155386,80.257228,4,Yes,1,Available,Prestige Group,2023-05-07
PROP00711,Kharadi Towers,Pune,Kharadi,20606000,3,3,1505,Apartment,18.514205,73.922709,0.4,No,0,Sold,Tata Housing,2023-09-12
PROP00211,Malad Estate,Mumbai,Malad,40126000,3,2,958,Apartment,19.08013,72.898621,6.5,Yes,7,Sold,Brigade Group,2024-09-09
PROP01086,Worli Court,Mumbai,Worli,15836000,1,1,378,Studio,19.053812,72.861353,4.9,Yes,7,Available,Puravankara,2022-05-29
PROP00317,Hadapsar Gardens,Pune,Hadapsar,59395000,5,4,4144,Villa,18.495947,73.863047,6.5,No,3,Available,Lodha Group,2022-11-15
PROP00513,Satellite Estate,Ahmedabad,Satellite,7682000,3,2,1184,Apartment,22.996552,72.551769,6.7,Yes,1,Available,Puravankara,2026-04-09
PROP00576,Hinjewadi Residency,Pune,Hinjewadi,9721000,3,3,1176,Apartment,18.530343,73.853635,2.8,No,2,Available,Sobha Ltd,2022-01-09
PROP00254,Navrangpura Heights,Ahmedabad,Navrangpura,24543000,4,4,3978,Villa,22.949856,72.533258,2.7,Yes,25,Under Construction,Shapoorji Pallonji,2024-12-07
PROP00465,Yelahanka Gardens,Bangalore,Yelahanka,21920000,3,2,1243,Independent House,12.98853,77.649236,5.4,Yes,25,Available,Shapoorji Pallonji,2024-02-27
PROP01140,Jayanagar Estate,Bangalore,Jayanagar,46218000,3,2,2816,Independent House,12.978026,77.565833,7.5,Yes,7,Available,Local Developer,2025-08-13
PROP01012,Miyapur Towers,Hyderabad,Miyapur,7670000,3,3,612,Apartment,17.323916,78.444409,7.1,No,7,Sold,Oberoi Realty,2024-05-30
PROP00606,Adyar Heights,Chennai,Adyar,10409000,2,2,840,Apartment,13.037134,80.212173,4.5,Yes,3,Available,Tata Housing,2024-05-14
PROP00655,Pitampura Court,Delhi,Pitampura,9929000,4,3,741,Apartment,28.658604,77.131534,1.3,,15,Available,Local Developer,2025-05-31
PROP00693,Juhu Heights,Mumbai,Juhu,58921000,1,1,1923,Apartment,19.05761,72.875723,2.9,Yes,3,Sold,Independent Builder,2022-11-12
PROP00018,Baner Homes,Pune,Baner,2519000,1,1,385,Studio,18.578291,73.841304,7.5,Yes,20,Sold,Tata Housing,2022-06-17
PROP00298,Wakad Towers,Pune,Wakad,34880000,2,2,3136,Independent House,18.510636,73.808973,5.3,Yes,2,Available,Tata Housing,2024-11-11
PROP00148,Madhapur Homes,Hyderabad,Madhapur,21725000,3,2,1761,Apartment,17.405159,78.475052,4.1,Yes,25,Sold,Shapoorji Pallonji,2023-10-15
PROP00175,Gachibowli Court,Hyderabad,Gachibowli,18490000,3,2,2120,Independent House,17.305712,78.441067,2.4,,20,Available,Shapoorji Pallonji,2023-01-18
PROP00768,Aundh Homes,Pune,Aundh,12794000,2,2,1521,Independent House,18.477201,73.900286,2.1,Yes,0,Sold,Oberoi Realty,2025-09-04
PROP00875,Baner Residency,Pune,Baner,14659000,2,1,1288,Apartment,18.585006,73.844193,3.3,Yes,5,Sold,Puravankara,2024-08-01
PROP01141,Nungambakkam Estate,Chennai,Nungambakkam,14919000,3,3,1143,Apartment,13.094067,80.232466,2.2,No,20,Sold,Godrej Properties,2023-01-05
PROP00308,Karol Bagh Enclave,Delhi,Karol Bagh,15643000,3,3,1252,Apartment,28.691931,77.089555,6.1,Yes,7,Available,Prestige Group,2025-03-16
PROP00705,Miyapur Court,Hyderabad,Miyapur,3402000,1,1,491,Studio,17.397723,78.518994,6.7,Yes,7,Sold,Tata Housing,2026-06-12
PROP00899,Adyar Residency,Chennai,Adyar,5246000,1,1,400,Studio,13.145477,80.304686,0.8,Yes,10,Available,Independent Builder,2025-06-09
PROP01055,Adyar Court,Chennai,Adyar,7156000,1,1,600,Studio,13.144695,80.206715,4.1,Yes,20,Available,Oberoi Realty,2025-11-27
PROP00984,Secunderabad Estate,Hyderabad,Secunderabad,15174000,4,4,2300,Independent House,17.401957,78.447106,7.7,No,0,Available,Lodha Group,2024-10-10
PROP00767,Thaltej Heights,Ahmedabad,Thaltej,3926000,1,1,467,Studio,23.088205,72.54444,1.9,Yes,0,Available,DLF Ltd,2026-03-27
PROP00229,Navi Mumbai Gardens,Mumbai,Navi Mumbai,67487000,3,2,1754,Apartment,19.146344,72.945689,4.6,Yes,3,Under Construction,Brigade Group,2024-04-21
PROP00694,Vasant Kunj Heights,Delhi,Vasant Kunj,13943000,1,1,547,Studio,28.706254,77.147303,1.7,Yes,7,Available,Lodha Group,2025-03-28
PROP00855,Powai Gardens,Mumbai,Powai,50547000,3,3,2356,Independent House,19.020921,72.908911,6.1,Yes,20,Sold,Local Developer,2025-09-15
PROP00430,Pitampura Court,Delhi,Pitampura,41938000,3,3,1597,Apartment,28.68187,77.046171,6.9,Yes,7,Available,Lodha Group,2023-12-08
PROP00437,Electronic City Court,Bangalore,Electronic City,78050000,3,3,4104,Villa,12.906721,77.635021,4.4,Yes,25,Sold,Lodha Group,2025-11-04
PROP00928,Karol Bagh Gardens,delhi,Karol Bagh,38533000,3,3,1728,Apartment,28.736559,77.034625,1.7,Yes,2,Available,Independent Builder,2025-04-28
PROP00401,OMR Towers,Chennai,OMR,8528000,3,2,768,Apartment,13.080541,80.332334,3.6,Yes,1,Available,,2026-01-14
PROP00208,Worli Estate,Mumbai,Worli,45944000,3,2,1312,Apartment,19.09915,72.890872,2.2,Yes,0,Under Construction,Sobha Ltd,2025-08-15
PROP00119,Hinjewadi Towers,Pune,Hinjewadi,17619000,3,2,2025,Apartment,18.588229,73.783291,6.9,Yes,0,Under Construction,Tata Housing,2023-06-27
PROP00834,Juhu Towers,Mumbai,Juhu,25571000,2,1,754,Apartment,19.091727,72.845694,0.3,No,0,Sold,Puravankara,2026-05-12
PROP00843,Thaltej Residency,Ahmedabad,Thaltej,17228000,3,3,2407,Independent House,23.032394,72.561522,2.8,Yes,15,Available,Lodha Group,2025-11-13
PROP01022,HSR Layout Towers,Bangalore,HSR Layout,17824000,4,4,1278,Independent House,13.005418,77.642633,3.1,Yes,0,Available,Shapoorji Pallonji,2023-02-18
PROP00292,Velachery Estate,Chennai,Velachery,7954000,1,1,626,Studio,13.126679,80.294577,4.3,Yes,0,Sold,Oberoi Realty,2023-04-15
PROP00752,Adyar Heights,Chennai,Adyar,15656000,2,,1469,Apartment,13.121212,80.26041,6.1,Yes,1,Sold,Tata Housing,2024-11-09
PROP01111,Vasant Kunj Enclave,Delhi,Vasant Kunj,67193000,4,4,4760,Villa,28.763852,77.081066,6.3,No,0,Sold,Oberoi Realty,2025-03-12
PROP00468,Bopal Enclave,Ahmedabad,Bopal,13271000,3,3,2236,Independent House,23.038839,72.621548,6,,0,Sold,Independent Builder,2025-08-06
PROP00126,Vastrapur Court,Ahmedabad,Vastrapur,5792000,3,2,1372,Apartment,22.948726,72.605575,6.5,,1,Sold,Shapoorji Pallonji,2022-10-14
PROP00176,HSR Layout Enclave,Bangalore,HSR Layout,24624000,2,2,1923,Apartment,12.993857,77.610115,5,Yes,5,Available,Puravankara,2025-06-18
PROP00723,Kothrud Gardens,Pune,Kothrud,5957000,1,1,514,Studio,18.500821,73.934919,4.7,Yes,2,Available,Puravankara,2025-10-22
PROP00212,Jayanagar Enclave,Bangalore,Jayanagar,8182000,2,2,603,Apartment,12.896289,77.64431,2.4,No,15,Available,Tata Housing,2023-04-22
PROP00635,SG Highway Estate,Ahmedabad,SG Highway,7218000,2,1,967,Apartment,23.079815,72.554674,3.7,No,5,Available,Puravankara,2022-07-11
PROP00702,Malad Court,Mumbai,Malad,80448000,3,3,2126,Independent House,19.154367,72.838874,4,,10,Available,,2023-09-09
PROP01134,Vastrapur Homes,Ahmedabad,Vastrapur,13673000,2,2,2709,Independent House,22.952566,72.523429,1.3,Yes,25,Available,Godrej Properties,2022-05-01
PROP00920,Porur Gardens,Chennai,Porur,17065000,1,1,1276,Apartment,13.08186,80.290198,4.8,Yes,5,Under Construction,Sobha Ltd,2024-11-17
PROP00160,Vasant Kunj Towers,Delhi,Vasant Kunj,9057000,1,1,640,Studio,28.771965,77.132009,2.4,Yes,1,Under Construction,Brigade Group,2022-02-02
PROP00645,Secunderabad Residency,Hyderabad,Secunderabad,64504000,5,4,4181,Villa,17.397954,78.474195,4.7,Yes,0,Available,DLF Ltd,2023-02-21
PROP00992,Marathahalli Residency,Bangalore,Marathahalli,12794000,4,4,1145,Apartment,13.032037,77.668305,5.6,Yes,25,Sold,Puravankara,2025-12-31
PROP00801,Tambaram Homes,Chennai,Tambaram,24262000,3,3,2762,Independent House,13.053637,80.340342,3.3,Yes,3,Sold,Local Developer,2024-05-19
PROP01039,Rohini Towers,Delhi,Rohini,14473000,3,3,558,Apartment,28.630904,77.15202,3.4,Yes,3,Available,Shapoorji Pallonji,2026-06-15
PROP00619,Juhu Homes,Mumbai,Juhu,42180000,4,4,1531,Independent House,19.065434,72.855178,7,Yes,0,Available,DLF Ltd,2022-10-01
PROP01068,Malad Homes,Mumbai,Malad,19108000,1,1,543,Studio,19.01019,72.913524,2.3,Yes,7,Available,Godrej Properties,2023-04-28
PROP00163,Marathahalli Enclave,Bangalore,Marathahalli,19555000,4,3,1749,Apartment,13.015147,77.561861,2.1,Yes,0,Available,Oberoi Realty,2025-12-28
PROP00690,Adyar Estate,Chennai,Adyar,10160000,1,1,776,Apartment,13.014707,80.243393,5,No,3,Sold,Prestige Group,2025-04-09
PROP00523,Powai Court,Mumbai,Powai,52042000,2,2,1815,Independent House,19.015676,72.820044,4.5,Yes,7,Available,Shapoorji Pallonji,2026-07-01
PROP00299,Hinjewadi Residency,Pune,Hinjewadi,10138000,3,2,1689,Independent House,18.465591,73.936191,6.3,Yes,25,Available,Tata Housing,2023-02-15
PROP00136,SG Highway Estate,Ahmedabad,SG Highway,4626000,4,,1142,Apartment,23.033374,72.508568,7.9,Yes,10,Under Construction,Shapoorji Pallonji,2024-12-09
PROP00161,Hinjewadi Heights,Pune,Hinjewadi,26039000,4,4,3102,Independent House,18.530633,73.867371,6.8,Yes,7,Sold,Prestige Group,2026-06-07
PROP00535,Aundh Residency,Pune,Aundh,23765000,3,2,2162,Apartment,18.512946,73.850973,3.5,,5,Sold,Independent Builder,2026-05-23
PROP00503,Gachibowli Gardens,Hyderabad,Gachibowli,18086000,3,2,3048,Independent House,17.406057,78.520839,5.4,Yes,7,Available,Independent Builder,2025-12-06
PROP01121,Kharadi Court,Pune,Kharadi,14252000,4,4,1564,Independent House,18.59538,73.804197,7.6,Yes,2,Available,Tata Housing,2026-05-20
PROP00207,Gachibowli Residency,Hyderabad,Gachibowli,16506000,3,3,2879,Independent House,17.369703,78.479052,6,Yes,0,Available,Prestige Group,2022-09-06
PROP01044,Tambaram Enclave,Chennai,Tambaram,11410000,2,2,1116,Apartment,13.106996,80.305458,6.7,Yes,7,Available,Sobha Ltd,2024-07-04
PROP00876,Miyapur Court,Hyderabad,Miyapur,11257000,2,1,1642,Independent House,17.405883,78.459334,2.5,No,0,Sold,Lodha Group,2024-01-05
PROP00435,Andheri Court,Mumbai,Andheri,108900000,4,,3187,Independent House,19.053882,72.874578,3.6,Yes,25,Sold,Local Developer,2022-09-02
PROP00897,Aundh Enclave,Pune,Aundh,24666000,2,1,2128,Apartment,18.524808,73.783361,7.6,Yes,20,Sold,Tata Housing,2025-01-16
PROP00037,Banjara Hills Homes,Hyderabad,Banjara Hills,4885000,3,3,609,Apartment,17.413663,78.471391,1.5,No,1,Under Construction,Shapoorji Pallonji,2022-02-25
PROP00613,Navrangpura Enclave,Ahmedabad,Navrangpura,7220000,2,1,1357,Independent House,22.957481,72.583451,0.9,Yes,15,Under Construction,DLF Ltd,2024-05-18
PROP00643,Satellite Gardens,Ahmedabad,Satellite,2047000,1,1,426,Studio,22.966145,72.562871,6.4,No,0,Available,Oberoi Realty,2026-01-28
PROP00946,Kondapur Gardens,Hyderabad,Kondapur,12052000,4,3,2020,Independent House,17.371616,78.533057,,Yes,2,Available,Godrej Properties,2026-04-12
PROP00858,Gachibowli Enclave,Hyderabad,Gachibowli,23081000,4,4,2647,Villa,17.31974,78.564811,1.1,No,10,Under Construction,Shapoorji Pallonji,2024-06-20
PROP01005,Miyapur Residency,Hyderabad,Miyapur,15164000,3,3,1492,Apartment,17.350588,78.414847,4.2,Yes,10,Sold,Oberoi Realty,2026-04-13
PROP00739,SG Highway Gardens,Ahmedabad,SG Highway,9303000,4,3,1713,Apartment,23.096149,72.566173,7.9,Yes,1,Under Construction,Lodha Group,2026-06-26
PROP00469,Nungambakkam Enclave,Chennai,Nungambakkam,8853000,3,,1206,Independent House,13.051588,80.282829,1.1,Yes,15,Sold,Independent Builder,2026-04-12
PROP00144,Thaltej Enclave,Ahmedabad,Thaltej,8905000,3,3,1468,Apartment,23.051737,72.597287,4.4,Yes,0,Available,Shapoorji Pallonji,2024-03-15
PROP00181,SG Highway Towers,Ahmedabad,SG Highway,30833000,5,4,2419,Villa,22.990133,72.65129,3.7,Yes,0,Available,Godrej Properties,2026-05-08
PROP00650,OMR Heights,Chennai,OMR,10856000,2,2,1106,Apartment,13.159168,80.210721,1.9,Yes,2,Available,Local Developer,2025-02-19
PROP00425,Whitefield Heights,Bangalore,Whitefield,20473000,2,2,1483,Apartment,12.917326,77.600251,1.6,Yes,25,Sold,,2023-05-03
PROP00854,Koramangala Court,Bangalore,Koramangala,20966000,4,4,1165,Apartment,12.905112,77.617573,3.2,No,0,Under Construction,Lodha Group,2026-02-03
PROP00011,Nungambakkam Towers,Chennai,Nungambakkam,13830000,3,2,1462,Independent House,13.090669,80.233109,7,No,2,Under Construction,Local Developer,2025-11-13
PROP01087,OMR Estate,Chennai,OMR,16458000,2,2,2122,Apartment,13.057185,80.199028,3.6,Yes,7,Sold,Puravankara,2025-07-06
PROP00159,Navi Mumbai Residency,Mumbai,Navi Mumbai,53633000,3,3,1524,Apartment,19.108455,72.81093,6.8,Yes,20,Under Construction,Godrej Properties,2024-12-17
PROP00909,Baner Estate,Pune,Baner,15632000,3,2,1720,Apartment,18.550098,73.838583,7.3,Yes,25,Available,Lodha Group,2023-12-08
PROP00852,Baner Towers,Pune,Baner,18720000,2,1,1587,Apartment,18.459873,73.897757,1.1,No,20,Available,Brigade Group,2024-04-30
PROP00158,Navrangpura Residency,Ahmedabad,Navrangpura,6595000,3,3,711,Apartment,23.01594,72.530313,5.6,Yes,25,Sold,Godrej Properties,2025-08-31
PROP00972,Pitampura Residency,Delhi,Pitampura,16384000,2,2,1407,Independent House,28.742557,77.173968,4.6,No,10,Available,Local Developer,2024-05-30
PROP00216,Saket Homes,Delhi,Saket,50983000,3,3,3167,Independent House,28.774808,77.085795,1,Yes,5,Available,Prestige Group,2026-02-08
PROP00083,Thaltej Homes,Ahmedabad,Thaltej,20951000,2,1,2447,Independent House,22.985292,72.520267,5.7,Yes,5,Available,Prestige Group,2022-10-21
